FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
10165651,Standard,-107.317813,38.547877
10165656,Standard,-114.9166,44.1311
10165661,Standard,-107.7751,37.8056
10165666,Standard,-106.767442,38.748017
10165671,Standard,-105.024292,38.996989
10165676,Standard,-108.08102,39.050053
10165681,Standard,-107.888497,37.889509
10165686,Standard,-106.357075,39.275387
10165691,Standard,-107.22941,37.51001
10165696,Standard,-105.123644,38.872025
10165701,Standard,-107.6809,37.4624
10165711,Standard,-105.479646,39.152548
10165716,Standard,-106.421393,39.067538
10165721,Standard,-114.6975,44.2585
10165726,Standard,-107.978385,39.04011
10165731,Standard,-107.830857,39.065482
10165736,Standard,-106.134533,39.076341
10165741,Standard,-114.552384,44.254864
10165746,Standard,-107.332917,37.921571
10165751,Standard,-108.05483,37.886103
250043,Cabin West,-115.950508,44.774721
233449,POD 1,-96.532769,38.690952
255303,18,-121.595214,41.586853
10168496,1,-106.724293,40.373759
10168556,Sailors Haven Cottage,-73.100277,40.656666
10169589,North Klondike Campground site 1,-109.76647,38.823126
10171272,Quigley Group Use Site,-112.305636,46.560713
10172129,Campsite,-90.18422,41.93513
232504,B001,-75.920011,35.125522
233141,151,-94.507952,47.387068
10083567,1,-119.648512,37.870195
10083845,1,-119.737202,37.753302
10083840,1,-119.598261,37.826429
10138237,1,-113.032557,37.383747
10174884,North Park Boundary to Milford Beach,-74.769749,41.32646
10174943,1,-120.003243,37.822934
10176103,Standard,-115.32313,45.127574
10176108,Standard,-116.259608,44.501172
10176113,Standard,-116.820177,44.738505
10176118,Standard,-115.738568,44.937104
10176123,Standard,-115.913985,45.269388
10176128,Standard,-116.27297,44.654298
10176133,Standard,-115.707862,44.890819
10176138,Standard,-115.808702,45.214049
10176143,Standard,-115.691541,44.86299
10176148,Standard,-116.144289,45.201163
10176153,Standard,-116.617798,45.082854
10176158,Standard,-115.915257,45.278974
10176163,Standard,-115.87515,44.781743
10176168,Standard,-116.653893,44.939838
10176173,Standard,-115.94628,44.923157
10176178,Standard,-116.190021,44.988435
10176183,Standard,-115.758554,45.062106
10176188,Standard,-115.702442,44.824672
10176193,Standard,-115.761297,45.063566
10177497,1,-97.150553,38.384873
10177518,1,-97.076179,38.379567
10177496,Dunbar Group Site,87.001699,41.682476
231912,GS01,-109.795855,42.940713
262754,1,-122.489109,45.043433
274721,1,-122.371505,44.588735
262756,1,-122.485583,45.033728
262759,1,-122.492067,44.983908
202155,Hunter Canyon Group Site,-109.597027,38.510336
234488,B01,-112.119267,35.935892
256345,14,-110.908629,34.304754
256348,2,-121.095391,46.979893
256344,23,-110.884497,34.304415
256350,19,-110.95544,34.320962
259170,BC1,-77.395726,38.550706
10187106,Shelter,-87.25627,32.05044
10187108,Small Shelter,-87.38996,32.11549
10187111,Site 1,-87.116341,32.164193
10187123,Group Shelter,-87.30843,32.05881
10187125,Shelter (A060) Closest to Playground,-86.675783,32.3491
10187129,Shelter #1,-87.54981,31.62075
10187133,Shelter,-87.39113,32.11452
233508,33,-96.30827,35.94819
256368,Group Shelter East,-93.680885,37.603249
256369,Group Use Area,-93.791202,37.679801
256349,Cottonwood,-87.196148,36.316209
255180,1,-118.867573,42.804506
234513,Site A,-81.756916,29.051704
10191060,Standard,-114.3247,43.7216
10191065,Standard,-114.275893,42.171472
10191070,Standard,-94.095559,47.524724
10191075,Standard,-113.6483,42.3249
10191080,Standard,-94.071902,47.04983
10191085,Standard,-93.652341,47.556934
10191090,Standard,-114.2813,42.1827
10191095,Standard,-114.268068,42.322699
10191100,Standard,-114.2594,42.2797
